;link;sku_desc;sku_name;price
103;https://makeup.com.ua/product/202313/;Matrix Total Results Color Obsessed So Silver Shampoo;Шампунь для нейтрализации нежелательных желтых полутонов волос оттенков блонд;243 ₴
104;https://makeup.com.ua/product/1137945/;Mr.Scrubber Amazing Ukraine;"Адвент-календарь ""Удивительная Украина""";2249 ₴
105;https://makeup.com.ua/product/470169/;OGX Shampoo Brazilian Keratin Therapy;"Разглаживающий шампунь для укрепления волос ""Бразильский кератин""";268 ₴
106;https://makeup.com.ua/product/34319/;CHI Infra Shampoo;Шампунь Инфра;422 ₴
107;https://makeup.com.ua/product/10726/;Vichy Dercos Anti-Dandruff Treatment Shampoo;Шампунь против перхоти интенсивного действия для сухих волос;357 ₴
108;https://makeup.com.ua/product/182877/;Batiste Dry Shampoo Clean and Classic Original;Сухой шампунь;126 ₴
109;https://makeup.com.ua/product/125797/;Comex;Аюрведический шампунь из индийских трав;52 ₴
110;https://makeup.com.ua/product/10727/;Vichy Dercos Anti-Dandruff Advanced Action Shampoo;Шампунь против перхоти интенсивного действия для нормальных и жирных волос;388 ₴
111;https://makeup.com.ua/product/39673/;Daeng Gi Meo Ri Vitalizing Shampoo;Регенерирующий шампунь;544 ₴
112;https://makeup.com.ua/product/585177/;Esthetic House CP-1 Bright Complex Intense Nourishing Shampoo;Протеиновый шампунь с коллагеном;154 ₴
113;https://makeup.com.ua/product/650949/;L'Oreal Professionnel Serie Expert Absolut Repair Gold Quinoa + Protein Shampoo;Шампунь для интенсивного восстановления поврежденных волос;414 ₴
114;https://makeup.com.ua/product/169721/;Сульсена;Шампунь против перхоти;144 ₴
115;https://makeup.com.ua/product/329757/;La'dor Keratin LPP Shampoo;Кератиновый безсульфатный шампунь;182 ₴
116;https://makeup.com.ua/product/473809/;Vichy Dercos Anti-Dandruff Deep Purifying Shampoo;Шампунь-скраб для глубокого очищения кожи головы и волос против устойчивой перхоти и избытка себума;410 ₴
117;https://makeup.com.ua/product/185823/;Batiste Dry Shampoo Fruity and Cherry;Сухой шампунь;66 ₴
118;https://makeup.com.ua/product/202309/;Matrix Total Results Color Obsessed Shampoo;Шампунь для сохранения цвета окрашенных волос;191 ₴
